"source","source_incident_id","occurred_at","fetched_at","lat","lon","nature","disposition","address","city","geocoded_at","geocode_quality","status","raw","geocode_attempts","geocode_locked_by","geocode_locked_at","last_changed"
"lee_county","16-493299","2016-10-30 00:41:10+00","2026-06-07 15:22:39.094179+00","26.574920058338","-81.672560262655","DISTURBANCE","08-REPORT TAKEN","2905 42ND ST SW","LEHIGH ACRES","2026-06-07 20:01:07.680599+00","EXACT",,"{""id"":""16-493299"",""city"":""LEHIGH ACRES"",""nature"":""DISTURBANCE"",""address"":""2905 42ND ST SW"",""disposition"":""08-REPORT TAKEN"",""occuredDate"":""2016-10-29 20:41:10.0000000"",""incidentNumber"":""16-493299""}","0","tolga","2026-06-07 19:00:12.259851+00","2026-06-07 15:22:39.094179+00"
"lee_county","24-257341","2024-05-26 03:15:17+00","2026-06-11 04:34:20.075946+00","26.324828258534","-81.708586719275","SHOTS FIRED","05-HANDLED BY DEPUTY","28679 ALESSANDRIA CIR","","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""24-257341"",""city"":"""",""nature"":""SHOTS FIRED"",""address"":""28679 ALESSANDRIA CIR"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2024-05-25 23:15:17.0000000"",""incidentNumber"":""24-257341""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:34:20.075946+00"
"lee_county","24-104138","2024-03-01 00:20:30+00","2026-06-11 04:34:20.075946+00","26.324735832097","-81.708009960966","ANIMAL","07-TURNED OVER TO OTHER AGENCY","28698 ALESSANDRIA CIR","BONITA SPRINGS","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""24-104138"",""city"":""BONITA SPRINGS"",""nature"":""ANIMAL"",""address"":""28698 ALESSANDRIA CIR"",""disposition"":""07-TURNED OVER TO OTHER AGENCY"",""occuredDate"":""2024-02-29 19:20:30.0000000"",""incidentNumber"":""24-104138""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:34:20.075946+00"
"lee_county","26-236447","2026-05-03 18:58:03+00","2026-06-11 04:34:20.075946+00","26.324721912532","-81.708929058619","DISTURBANCE","05-HANDLED BY DEPUTY","28666 ALESSANDRIA CIR","BONITA SPRINGS","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""26-236447"",""city"":""BONITA SPRINGS"",""nature"":""DISTURBANCE"",""address"":""28666 ALESSANDRIA CIR"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2026-05-03 14:58:03.0000000"",""incidentNumber"":""26-236447""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:34:20.075946+00"
"lee_county","21-324882","2021-07-02 12:31:02+00","2026-06-11 04:34:20.075946+00","26.325336560818","-81.707401831034","DISTURBANCE","05-HANDLED BY DEPUTY","28731 ALESSANDRIA CIR; SAN REMO AT PALMIRA","BONITA SPRINGS","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""21-324882"",""city"":""BONITA SPRINGS"",""nature"":""DISTURBANCE"",""address"":""28731 ALESSANDRIA CIR; SAN REMO AT PALMIRA"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2021-07-02 08:31:02.0000000"",""incidentNumber"":""21-324882""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:34:20.075946+00"
"lee_county","24-137445","2024-03-19 19:43:36+00","2026-06-11 04:34:20.075946+00","26.331111333568","-81.709829135216","DISTURBANCE","05-HANDLED BY DEPUTY","29037 ALESSANDRIA CIR","","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""24-137445"",""city"":"""",""nature"":""DISTURBANCE"",""address"":""29037 ALESSANDRIA CIR"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2024-03-19 15:43:36.0000000"",""incidentNumber"":""24-137445""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:34:20.075946+00"
"lee_county","17-277777","2017-06-22 07:49:24+00","2026-06-11 04:34:20.075946+00","26.329497988378","-81.710513649606","DISTURBANCE","11-CONDITION CORRECTED","29074 ALESSANDRIA CIR","BONITA SPRINGS","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""17-277777"",""city"":""BONITA SPRINGS"",""nature"":""DISTURBANCE"",""address"":""29074 ALESSANDRIA CIR"",""disposition"":""11-CONDITION CORRECTED"",""occuredDate"":""2017-06-22 03:49:24.0000000"",""incidentNumber"":""17-277777""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:34:20.075946+00"
"lee_county","21-074589","2021-02-15 03:55:14+00","2026-06-11 04:34:20.075946+00","26.324816803539","-81.70847560585","HARASSMENT","05-HANDLED BY DEPUTY","28683 ALESSANDRIA CIR; SAN REMO AT PALMIRA","BONITA SPRINGS","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""21-074589"",""city"":""BONITA SPRINGS"",""nature"":""HARASSMENT"",""address"":""28683 ALESSANDRIA CIR; SAN REMO AT PALMIRA"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2021-02-14 22:55:14.0000000"",""incidentNumber"":""21-074589""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:34:20.075946+00"
"lee_county","18-089063","2018-02-22 20:16:02+00","2026-06-11 04:34:20.075946+00","26.324799621046","-81.708308935713","STOLEN LICENSE PLATE/DECAL","15-WRITTEN DOCUMENTATION NON UCR","28689 ALESSANDRIA CIR","BONITA SPRINGS","2026-06-11 06:00:09.521001+00","EXACT",,"{""id"":""18-089063"",""city"":""BONITA SPRINGS"",""nature"":""STOLEN LICENSE PLATE/DECAL"",""address"":""28689 ALESSANDRIA CIR"",""disposition"":""15-WRITTEN DOCUMENTATION NON UCR"",""occuredDate"":""2018-02-22 15:16:02.0000000"",""incidentNumber"":""18-089063""}","0","tolga","2026-06-11 05:02:53.208705+00","2026-06-11 04:34:20.075946+00"
"lee_county","21-484909","2021-09-30 04:17:36+00","2026-06-08 12:16:11.191046+00","26.6809383","-81.6875495","RECOVER STOLEN PROP","05-HANDLED BY DEPUTY","3009 70TH ST W","LEHIGH ACRES","2026-06-08 18:03:16.280195+00","nominatim:residential",,"{""id"":""21-484909"",""city"":""LEHIGH ACRES"",""nature"":""RECOVER STOLEN PROP"",""address"":""3009 70TH ST W"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2021-09-30 00:17:36.0000000"",""incidentNumber"":""21-484909""}","0","tolga","2026-06-08 17:04:05.283782+00","2026-06-08 12:16:11.191046+00"
"lee_county","21-378600","2021-08-02 18:24:28+00","2026-06-08 12:16:11.191046+00","26.681089899154","-81.668106560886","ANIMAL","08-REPORT TAKEN","2602 70TH ST W","LEHIGH ACRES","2026-06-08 18:03:16.280195+00","EXACT",,"{""id"":""21-378600"",""city"":""LEHIGH ACRES"",""nature"":""ANIMAL"",""address"":""2602 70TH ST W"",""disposition"":""08-REPORT TAKEN"",""occuredDate"":""2021-08-02 14:24:28.0000000"",""incidentNumber"":""21-378600""}","0","tolga","2026-06-08 17:04:05.283782+00","2026-06-08 12:16:11.191046+00"
"lee_county","23-365800","2023-08-21 16:35:32+00","2026-06-08 12:16:11.191046+00","26.680953761961","-81.689329627002","ANIMAL","05-HANDLED BY DEPUTY","3418 70TH ST W","LEHIGH ACRES","2026-06-08 16:03:52.881146+00","EXACT",,"{""id"":""23-365800"",""city"":""LEHIGH ACRES"",""nature"":""ANIMAL"",""address"":""3418 70TH ST W"",""disposition"":""05-HANDLED BY DEPUTY"",""occuredDate"":""2023-08-21 12:35:32.0000000"",""incidentNumber"":""23-365800""}","0","tolga","2026-06-08 15:01:08.757992+00","2026-06-08 12:16:11.191046+00"
"lee_county","23-305940","2023-07-14 14:46:40+00","2026-06-08 12:16:11.191046+00","26.680953761961","-81.689329627002","DISTURBANCE","10-GONE ON ARRIVAL","3418 70TH ST W","LEHIGH ACRES","2026-06-08 16:03:52.881146+00","EXACT",,"{""id"":""23-305940"",""city"":""LEHIGH ACRES"",""nature"":""DISTURBANCE"",""address"":""3418 70TH ST W"",""disposition"":""10-GONE ON ARRIVAL"",""occuredDate"":""2023-07-14 10:46:40.0000000"",""incidentNumber"":""23-305940""}","0","tolga","2026-06-08 15:01:08.757992+00","2026-06-08 12:16:11.191046+00"
"lee_county","23-089963","2023-02-28 17:15:00+00","2026-06-08 12:16:11.191046+00","26.6811298968","-81.681866967339","BURGLARY - RESD","08-REPORT TAKEN","3114 70TH ST W","LEHIGH ACRES","2026-06-08 17:04:05.159168+00","EXACT",,"{""id"":""23-089963"",""city"":""LEHIGH ACRES"",""nature"":""BURGLARY - RESD"",""address"":""3114 70TH ST W"",""disposition"":""08-REPORT TAKEN"",""occuredDate"":""2023-02-28 12:15:00.0000000"",""incidentNumber"":""23-089963""}","0","tolga","2026-06-08 16:03:53.063515+00","2026-06-08 12:16:11.191046+00"
